Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,VOYAGEID2,Captives arrived at 1st port,Captain's name
1717,100002,,Cartagena,Santiago de Cuba,,40,
1717,100003,,"Jamaica, place unspecified",Santiago de Cuba,,16,Cumberlege [?]
1717,100004,,Cartagena,Santiago de Cuba,,30,
1737,100008,Ranger,St. Eustatius,"Barbados, place unspecified",,8,"Smith, Dan."
1700,100009,Resolution,"Barbados, place unspecified",British Leewards,,,"Calvert, Samuel"
1730,100012,John,"Jamaica, place unspecified",Havana,,15,"Bissett, Andrew"
1730,100013,Prince of Asturias,"Jamaica, place unspecified",Havana,,147,"Blackburne, William"
1731,100016,John,"Jamaica, place unspecified",Havana,,10,"Bissett, Andrew"
1731,100017,William,"British Caribbean, colony unspecified",Havana,,14,"Inness, Alexander"
1731,100019,Saint George,"British Caribbean, colony unspecified",Havana,,232,"Fennell, Edward"
1731,100020,Adventure (a) Venture,"Jamaica, place unspecified",Havana,,60,"Kearney, Peter"
1731,100023,Adventure (a) Venture,"Jamaica, place unspecified",Havana,,30,"Kearney, Peter"
1638,100026,Desire,Providence Island,Boston,,,"Pierce, William"
1706,100027,Rebecca,"Jamaica, place unspecified",Boston,,,"Pitts, John"
1726,100028,Dolphin,"St. Kitts, port unspecified",Boston,,,"Millekin, Benjamin"
1733,100029,Orange Tree,Speightstown,Boston,,20,"Sheffield, John"
1783,100030,Patty,Warren,Caribbean (colony unspecified),,,"Gorham, Isaac"
1652,100031,Saint Anthoni,"Jamaica, place unspecified",New York,,44,"Peres, Silvester"
1659,100032,Spera Mundi,Curaçao,New York,,4,"Pietersen, Jan (a) Groot, Jan Pietersz"
1664,100033,Musch (a) Sparrow,"Americas, port unspecified",New York,,40,"Pietersen Groot, Jan"
1711,100035,Berry,"Jamaica, place unspecified",New York,,,"Scott, Walter"
1714,100036,,"Jamaica, place unspecified",New York,,90,"Vial, Nathaniel"
1761,100037,William and Mary,"Barbados, place unspecified",Delaware River,,3,"Nicholson, George"
1752,100039,Molly,"Barbados, place unspecified",Charleston,,100,"Watts, Richard"
1753,100040,Molly,"Barbados, place unspecified",Charleston,,11,Watts
1716,100042,London,Kingston,Veracruz,,,
1716,100043,Herbert,Kingston,Cartagena,,,
1765,100044,Nancy,Kingston,"South Carolina, place unspecified",,,"Jardine, William"
1765,100045,Vulcan,Kingston,"South Carolina, place unspecified",,,"Barger, Nicholas"
1765,100046,Ann,"Jamaica, place unspecified","South Carolina, place unspecified",,,"Darrell, John"
1765,100047,Free Bounty,Montego Bay,Charleston,,3,"White, Thomas"
1784,100048,Mars,Kingston,Savannah,,34,"Bunner, George"
1784,100049,Success,Kingston,Charleston,,,"Cruikshank, R"
1783,100050,Nancy,"Jamaica, place unspecified",Charleston,,,"Davis, Joseph"
1784,100051,Rambler,Kingston,Charleston,,,"Dickenson, Vincent"
1784,100052,Adventure,Kingston,Charleston,,,"Thomson, Robert"
1784,100053,Neptune,Montego Bay,Charleston,,15,"Thompson, Archibald"
1784,100054,Hawke,Montego Bay,Charleston,,3,"Kidd, George"
1784,100055,Neptune,Kingston,Charleston,,59,"Thompson, Archibald"
1787,100056,Lovely Mary,Montego Bay,Charleston,,5,"Brown, John"
1788,100057,Little Peggy,Montego Bay,Brunswick,,1,"Duncan, George"
1717,100058,Prudent Betty,"Barbados, place unspecified",Charleston,,10,"Eason, Will"
1717,100059,Morehampton,"Barbados, place unspecified",Charleston,,42,"Yewing, Wilt"
1717,100060,Morning Starr,"Barbados, place unspecified",Charleston,,,"Pooles, Michael"
1717,100061,Mary,"Barbados, place unspecified",Charleston,,19,"Palmer, Joseph"
1717,100062,Ann,"Barbados, place unspecified",Charleston,,6,"Furber, Jethroe"
1717,100063,Hopewell,"Barbados, place unspecified",Charleston,,49,"Shubrick, Richard"
1717,100064,Elizabeth,Boston,Charleston,,9,"Porter, Thomas"
1717,100065,Neptune,"St. Kitts, port unspecified",Charleston,,4,"Bucher, John"
1717,100066,Elizabeth,"Barbados, place unspecified",Charleston,,32,"Edwards, Benjamin"
1717,100067,Thomas,"Jamaica, place unspecified",Charleston,,12,"Thomas, Rich"
1717,100068,Doves,"Jamaica, place unspecified",Charleston,,16,"Dutton, Thomas"
1717,100069,Dolphin,"Barbados, place unspecified",Charleston,,14,"Randall, Richard"
1718,100070,Neptune,"Jamaica, place unspecified",Charleston,,14,"Masters, John"
1718,100071,Montgomery,"Jamaica, place unspecified",Charleston,,14,"Shrimpton, Sam"
1718,100072,Elizabeth,"Antigua, place unspecified",Charleston,,3,"Lawrence, John"
1718,100073,Rachel,"Jamaica, place unspecified",Charleston,,18,"Dennis, Jonathan"
1718,100074,Charming Nelly,"Antigua, place unspecified",Charleston,,50,"Staples, R."
1718,100075,Friendship,"Antigua, place unspecified",Charleston,,5,"Watson, James"
1718,100076,Arm,"Antigua, place unspecified",Charleston,,36,"Clayton, Dan"
1718,100077,Experiment,"Barbados, place unspecified",Charleston,,6,"Sherburne, Thomas"
1718,100078,Mary Ann,"Barbados, place unspecified",Charleston,,17,"Pick, John"
1718,100079,Neptune,"Jamaica, place unspecified",Charleston,,21,"Masters, John"
1718,100080,Elizabeth,"Barbados, place unspecified",Charleston,,20,"Lawrence, John"
1718,100081,Saint Augustine,"Barbados, place unspecified",Charleston,,5,"Fifield, Rich"
1718,100082,Howard,"Barbados, place unspecified",Charleston,,,"Whites, Thomas"
1718,100083,Katherine,"Barbados, place unspecified",Charleston,,4,"Deck, Thomas"
1718,100084,Montgomery,"Barbados, place unspecified",Charleston,,1,"Shrimpton, Sam"
1718,100085,Swallow,"Barbados, place unspecified",Charleston,,4,"Donning, Charles"
1718,100086,Susana,"Barbados, place unspecified",Charleston,,5,"Ruby, John"
1719,100087,Fisher,"Barbados, place unspecified",Charleston,,4,"Nathan, David"
1719,100088,Greyhound,"Barbados, place unspecified",Charleston,,13,"Shrine, Jonathan"
1719,100089,Dolphin,"Barbados, place unspecified",Charleston,,4,"Randall, Richard"
1719,100090,George,"Jamaica, place unspecified",Charleston,,6,"Pope, Thomas"
1719,100091,John and James,"Barbados, place unspecified",Charleston,,8,"Pritchard, John"
1719,100092,Neptune,"Barbados, place unspecified",Charleston,,12,"Pike, James"
1719,100093,Sterling,"Barbados, place unspecified",Charleston,,12,"Stew, Samuel"
1719,100094,Indian,"Barbados, place unspecified",Charleston,,6,"Bennett, John"
1719,100095,Mary Ann,"Barbados, place unspecified",Charleston,,8,"Bonny, Thomas"
1719,100096,Ann,"Barbados, place unspecified",Charleston,,12,"Tudor, John"
1719,100097,Poetty,"Jamaica, place unspecified",Charleston,,22,"Stoffard, John"
1719,100098,Greyhound,"Jamaica, place unspecified",Charleston,,3,"Baker, Francis"
1719,100099,Grocer Frigat,"Barbados, place unspecified",Charleston,,,"Camby, John"
1719,100100,Elizabeth,"Jamaica, place unspecified",Charleston,,48,"Long, George"
1722,100101,Two Brothers,"Barbados, place unspecified",Charleston,,24,"Barfoot, William"
1722,100102,Gilbert,"Barbados, place unspecified",Charleston,,8,"Beck, Othaniell"
1722,100103,Hampton,"Jamaica, place unspecified",Charleston,,2,"Andrews, Benjamin"
1722,100104,Friends Adventure,"Barbados, place unspecified",Charleston,,4,"Mathews, Anthony"
1723,100105,James,"Jamaica, place unspecified",Charleston,,,"Colly, James"
1723,100106,Mary,"Jamaica, place unspecified",Charleston,,1,
1723,100107,Albany,"Barbados, place unspecified",Charleston,,5,"Baker, Francis"
1724,100108,Maxfield Gally,"Barbados, place unspecified",Charleston,,5,"Gabriel, J."
1724,100109,Gilbert,"Barbados, place unspecified",Charleston,,6,"Beck, Othaniell"
1724,100110,Ruby,"Antigua, place unspecified",Charleston,,16,"Kidgoll, Nicholas"
1724,100111,Bredah,"Barbados, place unspecified",Charleston,,2,"Pamefield, James"
1725,100112,Carolina,"Barbados, place unspecified",Charleston,,4,"Dill, Joseph"
1727,100113,Lyon,"Barbados, place unspecified",Charleston,,14,"Ross, William"
1727,100114,Carolina,"Barbados, place unspecified",Charleston,,6,"Austin, Benjamin"
1727,100115,Bumper,"Jamaica, place unspecified",Charleston,,6,"Smith, William"
1727,100116,Dragon,"Jamaica, place unspecified",Charleston,,6,"Strong, William"
1727,100117,Palmer,"Jamaica, place unspecified",Charleston,,6,"Palmer, Robert"
1727,100118,Prince Frederick,"Jamaica, place unspecified",Charleston,,8,"Whittier, Thomas"
1727,100119,Bumper,"Jamaica, place unspecified",Charleston,,2,"Smith, William"
1731,100120,Diamond,"Barbados, place unspecified",Charleston,,35,"Donaldson, William"
1731,100121,Barbary,"Barbados, place unspecified",Charleston,,7,"Scollay, Sam"
1731,100122,Sarah and Elizabeth,"Barbados, place unspecified",Charleston,,11,"Potter, William"
1731,100123,Londonberry,"Montserrat, port unspecified",Charleston,,14,"Blake, Richard"
1731,100124,Dove,"Americas, port unspecified",Charleston,,8,"Browne, Phillip"
1731,100125,Kerby Gally,"Antigua, place unspecified",Charleston,,12,"Canham, John"
1731,100126,Barbados Merchant,"Barbados, place unspecified",Charleston,,12,"Skinner, William"
1731,100127,Rose,"Barbados, place unspecified",Charleston,,12,"Williams, James"
1731,100128,Pineapple,Boston,Charleston,,2,"Hinckley, William"
1731,100129,Recovery,"Rhode Island, port unspecified",Charleston,,1,"Waterman, Resolved"
1731,100130,Sea Nymph,Boston,Charleston,,6,"Gilbert, Thomas"
1731,100131,Samuel,"Barbados, place unspecified",Charleston,,1,"Lilly, Daniel"
1731,100132,Friendship,Bermuda,Charleston,,2,"Wells, Jeremiah"
1731,100133,Armond Success,"St. Kitts, port unspecified",Charleston,,25,"Woak, William"
1731,100134,Isaac and Rebecca,"St. Kitts, port unspecified",Charleston,,1,"Penniston, Francis"
1732,100135,Hopewell,"Barbados, place unspecified",Charleston,,1,"Haren, Stephen"
1732,100136,Wando,"Jamaica, place unspecified",Charleston,,15,"Baker, Rich"
1732,100137,Pineapple,"Antigua, place unspecified",Charleston,,46,"Hinckley, William"
1732,100138,Loyall Nancy,"Barbados, place unspecified",Charleston,,4,"Bennit, Francis"
1732,100139,Elizabeth,"Virginia, port unspecified",Charleston,,13,"Paine, Ephraim"
1732,100140,King George,"Barbados, place unspecified",Charleston,,43,"Ivy, Lemuel"
1732,100141,Londonberry,"Montserrat, port unspecified",Charleston,,5,"Blake, Richard"
1732,100142,Virgins Venture,"Barbados, place unspecified",Charleston,,25,"Bradshaw, Jas."
1732,100143,,"Barbados, place unspecified",Charleston,,4,
1732,100144,Wando,"Jamaica, place unspecified",Charleston,,5,"Cartnell, Robert"
1732,100145,Saint Phillip,"St. Kitts, port unspecified",Charleston,,18,"Dewar, George"
1732,100146,Nights Rambler,New York,Charleston,,5,"Crispin, Richard"
1733,100147,Glasgow,"Barbados, place unspecified",Charleston,,13,"Warden, William"
1733,100148,America,"Barbados, place unspecified",Charleston,,6,"West, John"
1733,100149,Pineapple,"Jamaica, place unspecified",Charleston,,11,"Sigourney, Andrew"
1733,100150,Retrieve,"Jamaica, place unspecified",Charleston,,,"Walker, Thomas"
1733,100151,Priscilla,"Barbados, place unspecified",Charleston,,86,"Rhymes, Charles"
1733,100152,Friendship,"Barbados, place unspecified",Charleston,,4,"Bell, B."
1734,100153,Hawkins,"Barbados, place unspecified",Charleston,,13,"Perryman, William"
1734,100154,Pineapple,"Jamaica, place unspecified",Charleston,,6,"Sigourney, Andrew"
1734,100155,Samuel,"Montserrat, port unspecified",Charleston,,18,"Goffe, Joseph"
1734,100156,Dorset,"Jamaica, place unspecified",Charleston,,39,"Oliver, William"
1734,100157,John,"Jamaica, place unspecified",Charleston,,13,"Ford, William"
1734,100158,Britannia,"Barbados, place unspecified",Charleston,,4,"Staples, John"
1734,100159,Midnight,New York,Charleston,,2,"Barnes, Thomas"
1734,100160,John and Phoebe,"Antigua, place unspecified",Charleston,,6,"Preston, John"
1734,100161,Retrieve,"Jamaica, place unspecified",Charleston,,12,"Rivers, Robert"
1734,100162,Sweet Nelly,"Barbados, place unspecified",Charleston,,32,"Bullock, Robert"
1734,100163,John,"St. Kitts, port unspecified",Charleston,,62,"Rowse, Jonathan"
1734,100164,True Friends,"Barbados, place unspecified",Charleston,,2,"Taylor, Richard"
1734,100165,Providence,"Barbados, place unspecified",Charleston,,16,"Taylor, Joseph"
1734,100166,Concord,"Barbados, place unspecified",Charleston,,5,"Robertson, George"
1736,100167,Three Sisters,Boston,Charleston,,2,"Merret, Phil."
1734,100168,Midnight,New York,Charleston,,2,"Barnes, Thomas"
1734,100169,Charming Betty,"St. Kitts, port unspecified",Charleston,,3,"Crosthwaite, Thomas"
1734,100170,Glasgow,"Barbados, place unspecified",Charleston,,6,"Warden, William"
1734,100171,Samuel,"Montserrat, port unspecified",Charleston,,2,"Goffe, Joseph"
1734,100172,Carolina,Providence,Charleston,,22,"Fox, George"
1734,100173,Sweet Nelly,"Barbados, place unspecified",Charleston,,18,"Turpin, Matthew"
1734,100174,Garret,Providence,Charleston,,2,"Hill, James"
1734,100175,Retrieve,"Jamaica, place unspecified",Charleston,,2,"Waller, Thomas"
1734,100176,Sea Nymph,"Barbados, place unspecified",Charleston,,8,"Forister, Rich"
1735,100178,Westbury,"Jamaica, place unspecified",Charleston,,4,"Conssius, Mathias"
1735,100179,Rose,"Barbados, place unspecified",Charleston,,7,"Rous, John"
1735,100180,Exeter,"Jamaica, place unspecified",Charleston,,9,"Smith, Henry"
1735,100181,Seahorse,"Jamaica, place unspecified",Charleston,,10,"Arnold, Owen"
1735,100182,Neptune,"Jamaica, place unspecified",Charleston,,36,"Lightwood, Edward"
1735,100183,Francis and Ann,"Jamaica, place unspecified",Charleston,,3,"Cox, John"
1735,100184,Charming Betty,"Antigua, place unspecified",Charleston,,4,"Crosthwaite, Thomas"
1735,100185,Mary,"Barbados, place unspecified",Charleston,,1,"Hinson, Joseph"
1735,100186,True Friends,"Barbados, place unspecified",Charleston,,1,"Warner, Sam"
1735,100187,Success,"Barbados, place unspecified",Charleston,,17,"Cload, George"
1735,100188,Mary,"Barbados, place unspecified",Charleston,,33,"Outerbridge, John"
1735,100189,Little Gypsy,Providence,Charleston,,6,"Kip, Jacobus"
1735,100190,Catherine,Havana,Charleston,,1,"Wilson, George"
1735,100191,Flying Squirrel,"Antigua, place unspecified",Charleston,,18,"Wentworth, Samuel"
1735,100192,Fancy,"Jamaica, place unspecified",Charleston,,18,"Vardill, Thomas"
1735,100193,Pomroy,"Barbados, place unspecified",Charleston,,4,"Rous, John"
1735,100194,,Boston,Charleston,,,"Knox, Andrew"
1735,100195,Ellin,"Barbados, place unspecified",Charleston,,,"Wallace, Samuel"
1735,100196,Prince Frederick [?],New York,Charleston,,,"Wilson, Joseph"
1735,100197,[Elizabeth?],"St. Kitts, port unspecified",Charleston,,,"Newton, Sam"
1736,100198,Lake,"Barbados, place unspecified",Charleston,,13,"Pharnt, John"
1736,100199,Elizabeth and Lavenia,Curaçao,Charleston,,18,"Porter, Thomas"
1736,100200,Carolina,"Barbados, place unspecified",Charleston,,20,"Metland, Joseph"
1736,100201,Martha,"Antigua, place unspecified",Charleston,,2,"Pollock, C."
1736,100202,Sweet Nelly,"Barbados, place unspecified",Charleston,,2,"Hamilton, William"
1736,100203,Two Brothers,"Barbados, place unspecified",Charleston,,1,"Grafton, Joseph"
1736,100204,Antigua,"Antigua, place unspecified",Charleston,,5,"Richards, William"
1736,100205,King David,"Antigua, place unspecified",Charleston,,1,"Snow, John"
1736,100206,Dorothy,"Antigua, place unspecified",Charleston,,3,"Douglas, William"
1736,100207,,"North Carolina, port unspecified",Charleston,,,"Vaughan, William"
1736,100208,Nottingham,"Montserrat, port unspecified",Charleston,,15,"Parmyter, Thomas"
1736,100209,Charles (a) Don Carlos,"Jamaica, place unspecified",Charleston,,15,"Fenell, Edward"
1736,100210,Tincosdale,British Leewards,Charleston,,2,"Wentworth, Samuel"
1736,100211,Dorothy [?--blank],"Antigua, place unspecified",Charleston,,,"Douglas, William"
1737,100212,,"Montserrat, port unspecified",Charleston,,,"Sherrett, John"
1737,100213,Midnight [?],New York,Charleston,,,"Tucker, James"
1737,100214,,Mobile,Charleston,,,"Colcock, John"
1737,100215,Little Gypsy,"Jamaica, place unspecified",Charleston,,4,"Smith, John"
1737,100216,Georgia,New York,Charleston,,21,"Lush, John"
1737,100217,Amity,Bermuda,Charleston,,10,"Todd, Henry"
1738,100218,Dow,"Jamaica, place unspecified",Charleston,,9,"Sigourney, Charles"
1738,100219,Carolina,"Barbados, place unspecified",Charleston,,6,"Metland, Joseph"
1738,100220,Glasgow,"Antigua, place unspecified",Charleston,,13,"Warden, William"
1738,100221,Jenny and Nancy,"Antigua, place unspecified",Charleston,,14,"Linx, Richard"
1739,100222,,"Barbados, place unspecified",Charleston,,,"Lightwood, Edward"
1739,100223,,"Antigua, place unspecified",Charleston,,,"Dowers, Edward"
1739,100224,,"St. Kitts, port unspecified",Charleston,,,"Dorby, Eleazer"
1739,100225,,"Antigua, place unspecified",Charleston,,,"Drummond, John"
1740,100226,,"Rhode Island, port unspecified",Charleston,,,"Barnes, William"
1740,100227,,"Barbados, place unspecified",Charleston,,,"Lightwood, Edward"
1740,100228,,"Antigua, place unspecified",Charleston,,,"McNeale, Hector"
1740,100229,,"Barbados, place unspecified",Charleston,,,"Paynter, John"
1740,100230,,"Barbados, place unspecified",Charleston,,,"Hughes, H."
1742,100231,,Bermuda,Charleston,,,"Minott, Amos"
1742,100232,,"Jamaica, place unspecified",Cape Fear,,,"Mason, John"
1744,100233,Carolina [?],Providence,Charleston,,,"Hutchins, [Joseph?]"
1745,100234,,"Jamaica, place unspecified",Charleston,,,Harramond
1745,100235,,"Jamaica, place unspecified",Charleston,,,Evans
1745,100236,,"Barbados, place unspecified",Charleston,,,Harmond
1746,100237,,"Antigua, place unspecified",Charleston,,,Grand
1748,100238,,"St. Kitts, port unspecified",Charleston,,,Watts
1748,100239,,Providence,Charleston,,,Walker
1748,100240,,"Antigua, place unspecified",Charleston,,,Hare
1748,100241,,"Antigua, place unspecified",Charleston,,,Place
1748,100242,,Spanish Town,Charleston,,,Hopkins
1749,100243,,"Jamaica, place unspecified",Charleston,,,Burchell
1749,100244,,"Antigua, place unspecified",Charleston,,,Raines
1750,100245,,"Antigua, place unspecified",Charleston,,,Bailey
1750,100246,Defeat,"Barbados, place unspecified",Charleston,,,"Pharour, John"
1750,100247,Charles,"Barbados, place unspecified",Charleston,,100,"Calvert, Thomas"
1750,100248,Thomas and George,"Barbados, place unspecified",Charleston,,,"Thomas, Thomas"
1750,100249,Benjamin,"Barbados, place unspecified",Charleston,,,"Nelms, Thomas"
1750,100250,,"Barbados, place unspecified",Charleston,,,Evans
1750,100252,Recovery,"Antigua, place unspecified",Charleston,,,"Robinson, William"
1751,100253,Hawk,"Antigua, place unspecified",Charleston,,70,"Mason, William"
1751,100254,,"Antigua, place unspecified",Charleston,,,Allen
1751,100256,Brownhill,"Montserrat, port unspecified",Charleston,,,"Thomas, John"
1751,100257,,"Barbados, place unspecified",Charleston,,,Evans
1751,100258,South Carolina,"Barbados, place unspecified",Charleston,,,"Fell, John"
1751,100259,,"Barbados, place unspecified",Charleston,,,Noble
1751,100260,,"Barbados, place unspecified",Charleston,,,Gardner
1751,100261,Nancy,"Barbados, place unspecified",Charleston,,68,"Dickenson, Joseph"
1751,100262,Endeavour,"Barbados, place unspecified",Charleston,,,"Woodhouse, William"
1751,100263,,Curaçao,Charleston,,,Evans
1751,100264,Rebecca,Boston,Charleston,,,"Andrews, John"
1751,100265,Peggy and Molly,"Antigua, place unspecified",Charleston,,,"Oates, James"
1751,100266,,"St. Kitts, port unspecified",Charleston,,,Bannon
1751,100267,Isaac,"Barbados, place unspecified",Charleston,,,"McNeill, John"
1751,100268,,"Antigua, place unspecified",Charleston,,,
1751,100269,,"Barbados, place unspecified",Charleston,,,Symondson
1751,100270,,"Barbados, place unspecified",Charleston,,,Wakeley
1751,100271,,"Barbados, place unspecified",Charleston,,,Gordon
1752,100272,Lucretia,"St. Kitts, port unspecified",Charleston,,,"Fleming (a) Heming, James"
1752,100273,Joseph,New York,Charleston,,,"Wilson, Joseph"
1752,100274,Susannah,"Antigua, place unspecified",Charleston,,,"Lang, William"
1752,100275,Armstrong,"Barbados, place unspecified",Charleston,,,"Eggar, James"
1752,100276,Industry,"Barbados, place unspecified",Charleston,,,"Kilner, Samuel"
1752,100277,Lovely Rebecca,"Antigua, place unspecified",Charleston,,,"Davis, Robert"
1752,100278,,"St. Kitts, port unspecified",Charleston,,,Smith
1752,100279,,"Montserrat, port unspecified",Charleston,,,Leslie
1752,100280,Spy,"Jamaica, place unspecified",Charleston,,,"Evans, Burch"
1752,100281,Endeavour,"Jamaica, place unspecified",Charleston,,,"Colcock, Isaac"
1752,100282,Sarah and Anne,"Barbados, place unspecified",Charleston,,,"Nicholson, John"
1752,100283,Vine,"Barbados, place unspecified",Beaufort,,,"Makin, Robert"
1752,100284,Two Friends,"Barbados, place unspecified",Charleston,,60,"Hammett, Abraham"
1752,100285,,"Barbados, place unspecified",Charleston,,,Donnington
1752,100286,Providence,"Barbados, place unspecified",Charleston,,10,"Nicholson, John"
1753,100287,Brothers,"Barbados, place unspecified",Charleston,,11,"Cragg, Thomas"
1752,100288,Nancy,"St. Kitts, port unspecified",Charleston,,23,"Marshall, James"
1752,100289,Saint Andrew,"St. Kitts, port unspecified",Charleston,,,"Breading, Andrew"
1752,100290,,"Jamaica, place unspecified",Charleston,,,Edwards
1752,100291,Nancy,Cape Fear,Charleston,,7,"Fen, Francis"
1752,100292,,"Barbados, place unspecified",Charleston,,,Rice
1753,100293,Good Intent,"Barbados, place unspecified",Charleston,,7,"Booth, John"
1753,100294,Benjamin,"Barbados, place unspecified",Charleston,,16,"Thompson, Thomas"
1753,100295,Dutchess of Beaufort,"St. Kitts, port unspecified",Charleston,,,"Nash, William"
1753,100296,Hannah,"Barbados, place unspecified",Charleston,,48,"Cornish, Joseph"
1753,100297,Plymouth,"Barbados, place unspecified",Charleston,,4,"Lang, George"
1753,100298,Arabella,"Jamaica, place unspecified",Charleston,,,"Boyd, James"
1753,100299,Molly and Sally,"Barbados, place unspecified",Charleston,,100,"Wilmhurst, John"
1753,100300,Entwistle,"Barbados, place unspecified",Charleston,,50,"Briggs, William"
1753,100301,Salmond,"Rhode Island, port unspecified",Charleston,,,"Sweeting, Job"
1753,100302,,"Barbados, place unspecified",Charleston,,,Calvert
1753,100303,,"Barbados, place unspecified",Charleston,,,Parsons
1753,100304,,"Barbados, place unspecified",Charleston,,,Gaultria
1753,100305,,"Barbados, place unspecified",Charleston,,,Crumbleholm
1753,100306,Nancy,"Antigua, place unspecified",Charleston,,,"Copithorn, John"
1754,100307,Molly and Sally,"Barbados, place unspecified",Charleston,,24,"Wilmhurst, John"
1753,100308,,"Americas, port unspecified",Charleston,,,Dickinson
1753,100309,,"Americas, port unspecified",Charleston,,,Gordon
1754,100310,Jenny or Diamond,"Rhode Island, port unspecified",Charleston,,,"Brown, William"
1754,100311,Martha,"Barbados, place unspecified",Charleston,,80,"Lone, James"
1754,100312,New Ormond Success,"Barbados, place unspecified",Charleston,,,"Dickson, William"
1754,100313,Katharine,"Barbados, place unspecified",Charleston,,,"Rash, Andrew"
1754,100314,Charming Betty,"Barbados, place unspecified",Charleston,,,"Day, William"
1754,100315,,Philadelphia,Charleston,,,Day
1754,100316,Elizabeth,"Jamaica, place unspecified",Charleston,,,"Landey (a) Londey, John"
1754,100317,Altia[?],New York,Charleston,,,"Dickerson, [Robert?]"
1754,100318,,"Jamaica, place unspecified",Charleston,,48,
1754,100319,Mercury,"Jamaica, place unspecified",Charleston,,,"Webb, William"
1754,100320,Mary and Martha,"Barbados, place unspecified",Charleston,,,"Dill, Joseph"
1754,100321,Isaac,"Barbados, place unspecified",Charleston,,60,"McNeill, John"
1754,100322,Duchess [Duke] of Queensberry,"Antigua, place unspecified",Charleston,,,"McNeal, Hector"
1754,100323,Deborah,New York,Charleston,,,"Drumgoole (a) Drumgold, Alexander"
1754,100324,,"Jamaica, place unspecified",Charleston,,,Adams
1754,100325,Prince of Wales,"Barbados, place unspecified",Charleston,,70,"Gordon, Robert"
1754,100326,,"Antigua, place unspecified",Charleston,,,Roberts
1754,100327,Nancy,"Barbados, place unspecified",Charleston,,,"Copithorn, [John?]"
1755,100328,,Philadelphia,Charleston,,,Robeson
1755,100329,,Cape Fear,Charleston,,,Tucker
1755,100330,,"Virginia, port unspecified",Charleston,,,Legge
1755,100331,Sally[?],New York,Charleston,,,"Schermerhorn, [John?]"
1755,100332,Providence,"Barbados, place unspecified",Charleston,,,"Nichols, William"
1755,100333,Polly,"St. Kitts, port unspecified",Charleston,,,"Boardman (a) Bondman, Isaac"
1755,100334,William,"Barbados, place unspecified",Charleston,,,"Kent, Ebenezer"
1755,100335,Endeavour,"Georgia, port unspecified",Charleston,,,"Cunningham (a) Coningham, David"
1755,100336,Dobb,"Antigua, place unspecified",Charleston,,,"Hall, Philip"
1755,100337,Olive Branch,"Antigua, place unspecified",Charleston,,50,"Hunt, Thomas"
1755,100338,,"Antigua, place unspecified",Charleston,,,Gordon
1755,100339,Elizabeth[?],New York,Charleston,,,McGinray [Alexander McGillivray?]
1755,100340,George,"Barbados, place unspecified",Charleston,,48,"Gilchrist, James"
1755,100341,America,"Barbados, place unspecified",Charleston,,,"Jefferson, Benjamin"
1755,100342,Alexander,Philadelphia,Charleston,,,"Ford, John"
1755,100343,Margaret and Mary,"Antigua, place unspecified",Charleston,,,"Gordon, James"
1755,100344,Jacky and Peggy,"Antigua, place unspecified",Charleston,,,"Dunbar, James"
1755,100345,Gambia,"Barbados, place unspecified",Charleston,,13,"Dodson, Robert"
1756,100346,Adventure,"Antigua, place unspecified",Charleston,,,"Druitt, Joseph"
1756,100347,Brislington,"Antigua, place unspecified",Charleston,,8,"Whitborn, John"
1755,100348,Africa,"Antigua, place unspecified",Charleston,,24,"Vining, William"
1755,100349,Dobb,"Antigua, place unspecified",Charleston,,,"Hall, Philip"
1755,100350,Endeavour,Curaçao,Charleston,,,"Seymour, James"
1753,100351,,"Anguilla, port unspecified",Charleston,,,Peniston
1753,100352,,"Anguilla, port unspecified",Charleston,,,Robinson
1756,100353,Relief,"Barbados, place unspecified",Charleston,,140,"Lightbourn, William"
1756,100354,,Charleston,Georgetown,,9,
1756,100355,Georgia Packet,"Antigua, place unspecified",Charleston,,,"Marshall, Alexander"
1755,100356,,"Antigua, place unspecified",Charleston,,,Pitt
1755,100357,Tryall,"Antigua, place unspecified",Charleston,,,"Jones, Robert"
1755,100358,,"Jamaica, place unspecified",Charleston,,,Neale
1755,100359,,"Antigua, place unspecified",Charleston,,,Gilbert
1755,100360,,St. Eustatius,Charleston,,,Juder
1755,100361,Schrives (a) Screven,Curaçao,Charleston,,,"Sikker (a) Sinclair, Daniel"
1756,100362,Whitieg,"Virginia, port unspecified",Charleston,,,"Wallington, William"
1756,100363,,"Rhode Island, port unspecified",Charleston,,,Frip
1757,100364,Nancy,"Barbados, place unspecified",Charleston,,27,"Dickinson, Flor."
1757,100365,Katherine,"Barbados, place unspecified",Charleston,,30,"Hayes, James"
1757,100366,Hannah,"Barbados, place unspecified",Charleston,,200,"Cornish, Andrew"
1757,100367,Thomas and Sarah,"Barbados, place unspecified",Charleston,,,"Judkins, Stephen"
1757,100368,Bahamian,"Antigua, place unspecified",Charleston,,,"Seers, David"
1757,100369,Loudoun,"Virginia, port unspecified",Charleston,,,"Ouile (a) Curle, Samuel"
1757,100370,Phoenix,"Barbados, place unspecified",Charleston,,,"Burrows, William"
1757,100371,Hope,"Antigua, place unspecified",Charleston,,,"Rolland, Alexander"
