Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,VOYAGEID2,Captives arrived at 1st port,Captain's name
1863,184261,Pedro II,Parati,Rio de Janeiro,,2,"Souza, Antônio José de"
1863,184262,Pedro II,Parati,Rio de Janeiro,,2,"Souza, Antônio José de"
1863,184263,Apa,Montevideo,Rio de Janeiro,,7,"Alcoforado, Joaquim de Paula Guedes"
1863,184264,S Maria,Santos,Rio de Janeiro,,5,"Ferreira, Joaquim da Silva"
1863,184265,Otelo,Rio Grande,Rio de Janeiro,,1,"Oliveira, Francisco José de"
1863,184266,S Maria,Santos,Rio de Janeiro,,5,"Ferreira, Joaquim da Silva"
1863,184267,Marambaia,Mangaratiba,Rio de Janeiro,,6,"Castro, Antônio Lopes de"
1863,184268,Apa,Montevideo,Rio de Janeiro,,9,"Alcoforado, Joaquim de Paula Guedes"
1863,184269,Princesa de Joinvile,Portos do Norte,Rio de Janeiro,,60,"Santa Bárbara, Antônio Joaquim de"
1863,184270,Marambaia,Mangaratiba,Rio de Janeiro,,6,"Castro, Antônio Lopes de"
1863,184271,Princesa de Joinvile,Portos do Norte,Rio de Janeiro,,61,"Santa Bárbara, Antônio Joaquim de"
1863,184272,D Afonso,Parati,Rio de Janeiro,,1,"Meireles, J.C. de"
1863,184273,Senhora do Carmo,Parati,Rio de Janeiro,,1,"Pedroso, Henrique Francisco"
1863,184274,Sutil,"Pernambuco, place unspecified",Rio de Janeiro,,1,"Santos, Vicente da Silva"
1863,184275,Senhora do Carmo,Parati,Rio de Janeiro,,1,"Pedroso, Henrique Francisco"
1863,184276,Sutil,"Pernambuco, place unspecified",Rio de Janeiro,,1,"Santos, Vicente da Silva"
1863,184277,D Afonso,Parati,Rio de Janeiro,,2,"Meireles, J.C. de"
1863,184278,Mercúrio,Macaé,Rio de Janeiro,,4,"Valença, Francisco José de Oliveira"
1863,184279,Mercúrio,Macaé,Rio de Janeiro,,4,"Oliveira, Francisco José de"
1863,184280,Bonfim,Parati,Rio de Janeiro,,1,"Moreira, Manoel José"
1863,184281,Bonfim,Parati,Rio de Janeiro,,1,"Moreira, Manoel José"
